iter	Passed	Remaining
0	99	29795
1	193	28764
2	288	28591
3	384	28461
4	475	28045
5	569	27884
6	657	27535
7	748	27331
8	842	27227
9	932	27048
10	1029	27037
11	1125	27007
12	1215	26828
13	1303	26628
14	1391	26438
15	1483	26332
16	1572	26169
17	1658	25986
18	1752	25914
19	1845	25839
20	1932	25672
21	2016	25479
22	2102	25319
23	2188	25171
24	2283	25122
25	2369	24975
26	2455	24831
27	2541	24690
28	2635	24625
29	2734	24608
30	2831	24570
31	2927	24514
32	3025	24481
33	3121	24420
34	3214	24340
35	3309	24267
36	3402	24183
37	3495	24101
38	3590	24028
39	3684	23950
40	3778	23872
41	3875	23805
42	3969	23725
43	4061	23629
44	4158	23566
45	4254	23489
46	4356	23450
47	4446	23344
48	4539	23251
49	4634	23170
50	4732	23105
51	4829	23030
52	4915	22906
53	5002	22786
54	5088	22669
55	5179	22566
56	5265	22448
57	5352	22332
58	5438	22213
59	5524	22099
60	5610	21980
61	5702	21889
62	5790	21783
63	5892	21727
64	5992	21666
65	6091	21598
66	6192	21533
67	6292	21468
68	6391	21396
69	6489	21323
70	6590	21255
71	6682	21161
72	6771	21056
73	6865	20966
74	6953	20861
75	7040	20751
76	7126	20639
77	7214	20532
78	7310	20450
79	7406	20367
80	7505	20293
81	7594	20191
82	7682	20085
83	7780	20006
84	7867	19899
85	7959	19806
86	8046	19699
87	8140	19610
88	8226	19504
89	8312	19396
90	8398	19288
91	8487	19189
92	8573	19083
93	8661	18982
94	8747	18876
95	8835	18775
96	8922	18672
97	9008	18569
98	9095	18467
99	9184	18368
100	9274	18274
101	9365	18180
102	9452	18079
103	9541	17982
104	9627	17879
105	9717	17784
106	9831	17732
107	9927	17648
108	10035	17585
109	10125	17488
110	10219	17401
111	10312	17310
112	10412	17231
113	10502	17136
114	10598	17049
115	10698	16969
116	10789	16875
117	10877	16777
118	10976	16694
119	11065	16598
120	11154	16500
121	11244	16405
122	11349	16332
123	11438	16234
124	11529	16141
125	11620	16047
126	11716	15960
127	11807	15866
128	11898	15772
129	11985	15672
130	12074	15577
131	12174	15495
132	12262	15397
133	12359	15310
134	12456	15224
135	12552	15136
136	12647	15047
137	12746	14962
138	12855	14890
139	12983	14838
140	13093	14764
141	13189	14675
142	13283	14583
143	13378	14492
144	13497	14428
145	13597	14342
146	13710	14270
147	13810	14183
148	13904	14090
149	13999	13999
150	14093	13907
151	14193	13820
152	14287	13727
153	14380	13633
154	14473	13539
155	14561	13441
156	14652	13345
157	14740	13248
158	14829	13150
159	14915	13051
160	15011	12959
161	15102	12865
162	15203	12778
163	15306	12693
164	15404	12603
165	15511	12521
166	15613	12434
167	15726	12356
168	15834	12273
169	15931	12182
170	16033	12095
171	16128	12002
172	16231	11915
173	16329	11825
174	16424	11731
175	16518	11637
176	16611	11543
177	16713	11455
178	16819	11369
179	16919	11279
180	17019	11189
181	17113	11095
182	17210	11003
183	17305	10909
184	17398	10814
185	17487	10718
186	17575	10620
187	17666	10524
188	17755	10427
189	17846	10331
190	17938	10237
191	18039	10147
192	18127	10050
193	18218	9954
194	18311	9859
195	18396	9761
196	18490	9667
197	18582	9572
198	18673	9477
199	18760	9380
200	18885	9301
201	18992	9214
202	19085	9119
203	19179	9025
204	19276	8933
205	19372	8839
206	19463	8744
207	19554	8649
208	19647	8554
209	19738	8459
210	19827	8363
211	19919	8268
212	20012	8173
213	20104	8079
214	20198	7985
215	20290	7890
216	20418	7809
217	20509	7714
218	20597	7618
219	20684	7521
220	20779	7427
221	20870	7333
222	20958	7236
223	21051	7142
224	21148	7049
225	21239	6954
226	21341	6862
227	21437	6769
228	21544	6679
229	21641	6586
230	21742	6494
231	21844	6402
232	21971	6318
233	22084	6228
234	22178	6134
235	22275	6040
236	22374	5947
237	22472	5854
238	22569	5760
239	22666	5666
240	22761	5572
241	22851	5476
242	22943	5381
243	23039	5287
244	23129	5192
245	23226	5098
246	23325	5004
247	23413	4909
248	23511	4815
249	23607	4721
250	23699	4626
251	23793	4532
252	23880	4436
253	23973	4341
254	24064	4246
255	24164	4153
256	24254	4058
257	24349	3963
258	24438	3868
259	24527	3773
260	24622	3679
261	24729	3586
262	24831	3493
263	24930	3399
264	25028	3305
265	25124	3211
266	25228	3118
267	25330	3024
268	25428	2930
269	25565	2840
270	25661	2746
271	25763	2652
272	25862	2557
273	25962	2463
274	26072	2370
275	26168	2275
276	26276	2181
277	26371	2086
278	26466	1992
279	26559	1897
280	26663	1802
281	26756	1707
282	26858	1613
283	26952	1518
284	27044	1423
285	27143	1328
286	27235	1233
287	27328	1138
288	27431	1044
289	27524	949
290	27616	854
291	27720	759
292	27812	664
293	27904	569
294	28004	474
295	28096	379
296	28189	284
297	28291	189
298	28384	94
299	28475	0
